Username,Review,Rating
Jacob,"Not sure how or why these have such great reviews.The only positive thing I have to say is that I appreciate how quiet these can get (almost whisper quiet), which is quite nice. Unfortunately, if you are listening to something with a very quiet recording, you can only barely get these loud enough to hear, and then only if you are in a quiet setting and have both earbuds in place. Because of this type of situation, I was able to learn these earbuds can produce a bass tone I did not otherwise notice with normal listening settings, which was neat, but otherwise useless.Unfortunately, these only come with three size earpieces. You would think they would be enough, but they are not. The medium are too big and hard. If I use them for too long my ear begins to hurt. The small are too small and if I use them, the earbuds do not stay in my ear and are constantly falling out. All the earpieces are also short, so none of them really stay in well. I had to use ear pieces from a less expensive brand that came with 6 different sizes (buds that were only 1/5th the price, too).Because of the twisting motion that is required to put these in your ear properly, I almost always accidentally press the play button before I am ready. Also, even with the more comfortable earpieces I use from another brand, because of the weird footprint these earbuds have, they still do not stay in place well. Also, when repositioning to make sure they don't fall out, I almost always pause what I am listening to by accident. VERY FRUSTRATING.Only while using the better earpieces from the significantly less expensive brand will these buds stay in place while running, but it sounds like someone is playing a bass drum inside my ear everytime my foot hits the ground (PAINFULLY UNCOMFORTABLE). This does not happen with any of the less expensive brands I have owned.There is no standby mode with these, so as soon as the earbuds are out of the charger the battery drain time starts ticking and you only get 8 hours or less when fully charged regardless of whether you are listening to anything or not and regardless of whether you are using the noise canceling or transparency modes or not.The noise canceling function is really not any better with it on or off. The transparency mode is a neat idea, but when there is no sound and nothing is playing it sounds as if you are standing in a wind tunnel (noisy and uncomfortable to listen to). Not worth the loss of battery life to use either function.There is a Beats app you can install. Other than being able to see what mode your earbuds are in, there is really no benefit to installing it though. I had to uninstall it because it was malfunctioning and causing my earbuds to randomly and repeatedly switch into transparency mode (SUPER ANNOYING).The only way to see how much charge is left on the docking station is to check your phone while the lid is open. I don't like that I have to look at my phone to see how much charge the docking station has left instead of having a built in meter like many other brands.There is no effective way to tell if your buds are seated correctly in the docking station and are actually charging.Major buyer's regret after purchasing these. Definitely NOT WORTH THE MONEY.",1.0 out of 5 stars
DOESNT WORK,"I really wanted to love these.However, SO MANY things were wrong with them.-First, they were insanely uncomfortable. No matter what nib size I used, they all had to be pushed in nonstop. Which, of course, then would constantly turn off and on the noise cancelling. Just got annoying.-Second, every time I connected them to my PC, it would essentially freeze the computer. I thought that maybe it was my computer, so I even went through and updated all of the bluetooth drivers. Nothing fixed it. NO OTHER HEADPHONES I have EVER had have done this before.-Third, they would randomly pause and skip songs. Halfway through one, then bam, a song is played a few songs down in my library. Ridiculous! Again, I did consider that it was my phone. But no. Fully updated, and this has never ever happened before using these headphones.-Fourth, the mic quality isn't necessarily bad, just weird. It would pick up on the most random sounds, even moreso than my actual voice. No idea why. Nothing fixed this either.-Fifth, the bass was TERRIBLE. I got these to replace my 1st gen airpods from many years ago, but to make music sound even bearable I had to go in to EQ on settings and make it bass boosted. For 150$ that is NOT something I should have to do.-Sixth, I went to use them at the gym, and while they did stay in my ears, it was only by a thread. I had to constantly push them in no matter what size I used, especially after sweating. Not to mention any exercises laying down. They would just fall right out.So, not only were these headphones some of the most uncomfortable headphones I have ever worn, but they felt flimsy and cheap, the bass was terrible, and they broke basically everything I connected it to. I would absolutely NOT recommend these. Literally buy any other headphones. It was ridiculous how much I tried looking past because they are ""beats."" Terrible. Genuinely. I tried them for 10 days straight and they only disappointed.But hey, the battery lasted a while.Absolutely returning these. Don't waste your time!",1.0 out of 5 stars
Hannah,"Okay So i bought these 3 months ago and they were great for the first two weeks. I bought these as a gift to myself and i thought i was getting a good brand. I was in denial about how bad they were until i had to go back to using a cheap Walmart pair i bought before these. The Walmart pair was so much better then these and i think i spent 20$ on them. These beats earbuds never stay in my ears, the one job they have is to be earbuds and they won’t stay in. I’ve tried all different size rubber pieces and they wont stay. I had to buy the curled earbud pieces, they curl around/into your ear to hold them in there. But because those are the only ones that work you have to put them in a secondary case and carry them with the headphones because you can’t put the earbuds back into there case with those type of rubber pieces on them. Then when i reached out the customer service they told me it was the actual case causing the problems. So i bought a new case. Didn’t fix anything, and just wasted my money. The battery doesn’t last more then 2 hours. Even if your music shuts off or something and you just keep the headphones in until you get a chance to take them out. They will still die, within 2 hrs, even with nothing playing and the noise cancelling feature off. Honestly don’t even think about using the noise canceling feature, your headphones will die in 30-40 min guaranteed. So not only do you buy the headphones but be prepared to buy rubber pieces to actually keep them in your ear and be sure your available to put them back in the charging case every 1.5-2 hours no matter what. Huge waste of money. Spend your money how ever you like but I’m just letting you know that these really do suck.",1.0 out of 5 stars
Luna Selene,"For being Beats and the price that they are, almost everything about them is horrible. Unfortunately, they sound thin and airy. Usually Beats have pretty decent bass but these lack them almost completely. Even using bass boosted audio and an equalizer, the bass only just comes through. They come with an extremely short power cable that can really only be hooked up to a computer and they take a couple hours to charge. They claim that 5 minutes of charge will last for an hour but that couldn’t be further from the truth. If you charge them for 15 minutes, you’ll get 30 minutes of listening at the most. Additionally, the charger charges slow and unevenly, causing the two earbuds to have different charges at any given time; which makes it so one earbud works great but the other sounds even worse or just doesn’t work. Pairing it to my phone is a nightmare. Even though I have the latest updates on my phone, they take a couple minutes to pair, don’t pair at all, or will randomly connect and/or disconnect at random times throughout the day. These also come with three different sizes of earpieces to fit your ear but no matter which size I choose, the shape of the earbud isn’t great and even after following fitting and placement directions, still chafe and dig into the the sides of my ears which hurt after about 10 minutes of use. The only thing going for these headphones is the active noise cancellation, which I will admit, is pretty nice when it works. Unfortunately, about a third of the time I turn active noise cancelling on, they instead play a very shrill and high pitched noise which won’t stop until you turn them off. As I said earlier, for being a name brand like Beats and charging $100 for these earbuds, it’s really disappointing to see such a poorly thought out and executed product like these. Especially considering I can get a pair of off-brand, 20-30sec dollar earbuds that will perform better. In short- don’t waste your money on these. They are not worth it and you will end up wanting to return them. I have nothing against the company, just the product",1.0 out of 5 stars
Ronnie,"Update: While I do stand by everything I wrote below, the item stopped working after a week, so I've updated my review from 5 stars to 1. Also, I didn't realize that Beats is a company owned by Apple, whom I absolutely despise. Good to know later rather than never. I won't be purchasing these or any other Beats products ever again.Wow. Where do I even begin with these.My family was a early adopted of the first Beats products when they were initially released, but at the time, having tried them out, I could not for the life of me stand how much the bass was boosted in them. It was almost like, if you weren't listening to some sort of hip-hop, those things would absolutely obliterate the quality of the music you were listening to. In short, I hated them with an ever-living passion.Fast forward to today. I was desperately in need of some new headphones and decided to give these a shot. Mind you, earbuds were never my thing. They hurt my ears no matter how many different sized eartips you included with the things. Anyways, I bought these, fully expecting not to like them. But oh wow. I don't think I'll ever try another brand of earbuds again. The sound quality is clear as day and the active noise canceling is akin to magic. I've found my match with these and could not be happier.OH! AND THE PACKAGING! I swear, whoever designed the packaging for these things is an absolute genius and an artist! It's minimalistic and practical, yet elegant in a way that somewhat replicates that of Apple's packaging (and I despise Apple and their products, so that should tell you something). Part of me almost likes the packaging more than the actual product! hahaha!In closing, if you don't like earbuds and are more of an over-the-ear headphone kind of person, please, give these a shot. You won't be disappointed.",1.0 out of 5 stars
Amazon Customer,"I bought these earbuds exactly 11 months ago, since I bought them they have been a complete disappointment, I felt a little pressured to like them just because of the brand and the amount of positive reviews they have, but I gave them 11 months of my life and I'm still giving them more time because of how expensive they were, but without a doubt, a complete waste of money.1. It is noise cancelling, HOWEVER, the mic is actually noise enhancing somehow, so people can never hear me when I'm using them, my husband has a similar pair and being with him on the phone while he's just moving around or doing very minimal activities is headache inducing because of how much they enhance the background noise. I can't even walk by a bag of chips while being on the phone because the person on the other end of the line might pierce their ear drums!2. The app is useless! Does nothing for the background noise situation.3. They aren't consistent, they disconnect and reconnect and disconnect and reconnect, for no reason, doesn't matter what device they are connected to.4. The sound quality is OKAY, just okay, definitely not worth $150. I've had $50 skull candy earbuds that sounded the same.5. The battery life used to be okay, but now 11 months later. Its horrible, I have to charge it multiple times a day, and the battery life it reflects on my phone isn't always accurate, so I definitely thought they gave up on me a few times because it didn't show that the battery was low but they weren't working.6. They are always falling out, its annoying but honestly its not the biggest gripe I have with them!7. They break up, whenever I'm talking to someone or listening to something I just kind of hear it skipping, so if I'm face timing someone I can see their lips moving and sometimes can't hear them, again this is over multiple devices so its not a connection issue or a phone issue its an earbud issue. It does the same thing with videos as well. So it gives me raging migraines if I'm using them for too long.In conclusion: I 've been annoyed by these earbuds for 11 months now, they felt like a bad purchase the second I bought them and I should have just returned them right then and there, but lesson learned! Just because its a big brand and is expensive and 'looks' like its worth the money, doesn't mean it is.",1.0 out of 5 stars
Nicholas Avallone,"I'd love to give these Beats Studio Buds a higher rating. The sound is fantastic: deep bass and clear treble. Noise cancellation is very effective, and they stay in my ears. Battery life is great, and pairing them is a snap.But the connection is ...just bad.They skip once every few minutes. Only for half a second, but it is annoying, and not something any headphones should be doing.I've tried resetting them: no change. I've tried them paired with my iPhone and paired with my iMac: they skip on both.Note, I have a pair of Stiive Bluetooth Headphones that cost 1/5 the price of the Beats, and they never skip on any device. The sound on those isn't as good, but I prefer them to these because they don't skip.**UPDATE - 7 July 2023**Downgrading my review from 2 stars to 1 star.Two weeks ago, I spoke to someone at Apple (who I guess own Beats?), and they assured me that the problem is simply outdated firmware, and suggested I bring them to an Apple Store. But the closest is 1 hour away, so they very graciously offered to send a box and FedEx label for a return and repair. A few days later, I received the box and label, so I promptly sent them off. After a few more days, they returned ...with same issue. And same firmware version!So what did Apple actually do? Who knows? So I got on the phone once again, spoke to another Apple rep, who escalated my case to her manager. The manager assured me he would leave explicit instructions for the technicians to update the firmware this time. So, another wait for a box, and another wait for them to be fixed and shipped back. I received them today once again...and once again, same issue and same firmware version.Now I get to spend another frustrating round with another Apple rep, and another week of shipping nonsense. Will they fix the issue this time? Seems unlikely.",1.0 out of 5 stars
Melissa McVicar,I was so excited to get these thinking finally it's not a 15 to $40 pair with ehh bass n ehhh battery life but overall for the cost of the earbuds they weren't bad. Oh no I got the exact same type of earbuds only this time I paid twice as much money for it boy do I look like an idiot. Absolutely no base whatsoever like I mean none and I'm listening to songs did you can barely hear the lyrics because it's just all Bass. The battery life and the 5 minutes it took me to set them up and get the Squishies right in my ear and open the app I had gone from 100% battery to 90% battery so I can't imagine how long these are going to last to dive started listening to music 10 minutes ago. I will say these will 100% be getting returned to Amazon because they are complete and total waste of money I already have three other pairs of earbuds that totaled cost wise don't reach the cost of this one pair and yet they all sound exactly the same. So if you're thinking you're getting yourself a treat by getting yourself beats because everybody says that this is the brand no no it's not at least not this specific series of earbuds pass on this I wish somebody had written an actual review and not a butt kissing review to try to get free products cuz I feel like that's what a lot of people do this is not a product that I would want for free because it would just irritate me and I don't like lying to people and telling them that something's awesome when it's not and this is not awesome at all and I was so pumped I even did Snapchat this morning all excited when they came in these ruined my entire day!!,1.0 out of 5 stars
Trevor,"This was the most disappointing purchase I have made for wearable / all electronics in the past ten years. I was hoping the earbuds would hold up well - and be a convenient, wearable that wouldn't break the bank. That's not the case.The earbuds started making ""popping"" noises and muffled quality within the first 30 days of wear. I was using them on calls, jogs, and while working from home. The battery was surprisingly terrible as well - when I use my primary earbud (right side) while walking my dog, it starts having a battery warning within just 30 minutes of use.I wish I could get a refund. I replaced these on a trip with the HTC True Wireless Earbuds, and was surprised that the battery quality, noise cancellation, and overall expereince out performed the beats. That's a $17 dollar earbud pair out performing this $100 beats product.Not worth it one bit.",1.0 out of 5 stars
PetLover,"but they keep disconnecting, activating voice control on my iPhone and calling random people.  I've mostly had AirPods (original, 2 and pro) before these but before AirPods I was a diehard Beats customer.  When the puppy ate my last pair of AirPods I decided to go back to my beloved Beats. I simply cannot use them with my phone anymore. I've had them barely 2 weeks and they keep activating voice control (even though it's turned off in settings) and calling people (just now, while I was VACUUMING and no one was even speaking; I also have call confirm turned on so the phone is supposed to confirm before calling - that didn't happen either) so I have to retire them.  They sound fine. Aren't as comfortable as my AirPods but maybe my ears just haven't adjusted to their shape.  They stay in OK. When the battery gets low, the drop down is continuous, so that's annoying. I swiped up and acknowledged and tried all of the things to get it to stop notifying, but it just keeps going. Battery life is mediocre compared to others I've had. I'd keep using them except they've now initiated calls to 2 different people to whom I have no desire to talk. Sad to have to relegate them to the junk drawer/back up pair but that's all I can use these for now.",1.0 out of 5 stars
